humidity,motionDetected,npkValue,rainStatus,soilMoisture30,soilMoisture60,temperature,windSpeed,Disease Label
69,0,104,Yes,86,91,30,4,Healthy
93,0,125,No,39,37,29,7,Healthy
50,1,144,Yes,84,85,22,19,Healthy
83,0,126,No,49,58,30,7,Healthy
93,1,148,No,45,43,28,17,Wilt
84,0,114,No,46,60,26,8,Healthy
51,1,131,No,97,111,21,16,Healthy
46,0,121,No,62,64,24,3,Healthy
52,1,155,No,84,91,19,2,Healthy
77,1,141,No,64,60,32,14,Wilt
83,1,132,No,81,96,26,7,Blight
94,0,158,No,40,37,32,4,Wilt
53,1,124,Yes,77,83,26,18,Healthy
84,0,85,Yes,55,53,27,7,Healthy
56,0,149,Yes,39,48,32,10,Healthy
88,1,135,No,46,44,18,10,Healthy
79,1,106,Yes,66,65,33,19,Healthy
50,1,104,No,100,104,30,17,Healthy
84,0,80,Yes,51,48,27,20,Healthy
91,0,86,Yes,63,67,23,4,Healthy
74,0,155,No,33,29,28,20,Wilt
63,0,83,No,73,70,37,5,Healthy
87,0,107,Yes,99,111,30,16,Blight
67,0,147,Yes,100,114,23,10,Healthy
89,1,112,No,67,62,25,2,Healthy
84,0,93,Yes,88,91,21,10,Blight
87,1,83,Yes,63,75,37,8,Healthy
52,0,119,Yes,47,44,31,17,Healthy
93,0,160,Yes,81,90,21,19,Blight
82,0,153,Yes,78,77,21,10,Blight
63,1,91,Yes,61,58,32,20,Healthy
87,1,139,Yes,46,57,30,5,Healthy
55,1,141,No,81,79,27,14,Healthy
91,1,125,Yes,64,73,22,14,Healthy
71,0,139,No,57,71,32,7,Healthy
65,1,115,No,54,69,26,10,Healthy
49,1,155,No,47,45,38,7,Rust
80,1,132,No,57,56,21,18,Healthy
55,0,136,Yes,64,60,27,20,Healthy
88,0,100,Yes,82,96,33,19,Blight
89,1,85,No,30,35,29,3,Healthy
59,1,110,No,33,32,23,12,Healthy
87,0,121,No,98,94,21,14,Blight
86,1,107,Yes,85,81,33,16,Blight
90,1,134,No,98,105,21,9,Blight
94,0,83,No,56,60,26,3,Healthy
75,1,145,No,96,101,25,4,Wilt
75,1,160,No,58,53,33,5,Wilt
82,0,129,No,47,46,25,7,Healthy
82,1,128,No,50,50,33,4,Healthy
79,1,134,No,67,75,36,19,Healthy
49,0,153,No,99,95,21,20,Healthy
92,1,106,No,77,88,33,19,Blight
69,0,96,Yes,65,71,24,13,Healthy
94,0,107,Yes,49,64,26,15,Healthy
51,1,113,No,88,96,18,6,Healthy
54,1,131,No,54,64,34,14,Healthy
74,0,140,No,68,72,30,6,Healthy
76,1,115,No,57,61,23,5,Healthy
60,0,134,Yes,59,73,37,16,Healthy
77,0,141,No,58,68,25,5,Wilt
